ltable_id,rtable_id,,,,
1262,6703,,,,
1090,16635,,,,
1040,1403,,,,
1040,1404,,,,
1040,3382,,,,
1040,7390,,,,
1040,10099,,,,
1040,11359,,,,
1040,11364,,,,
1040,13357,,,,
1040,15349,,,,
1040,15350,,,,
1040,15351,,,,
1040,20203,,,,
1040,21772,,,,
2168,3382,,,,
2168,7390,,,,
2168,11359,,,,
2168,13357,,,,
2168,14038,,,,
2168,15349,,,,
2168,15350,,,,
2168,15486,,,,
2168,19183,,,,
2168,20203,,,,
2368,1402,,,,
2368,2769,,,,
2368,3383,,,,
2368,5340,,,,
2368,5341,,,,
2368,11358,,,,
2368,11362,,,,
2368,11364,,,,
2368,13356,,,,75566
2368,14038,,,,
2368,15351,,,,
2368,19923,,,,
1498,5234,,,,
1488,9660,,,,
1488,16396,,,,
159,7678,,,,
159,13653,,,,
2387,2196,,,,
2387,13653,,,,
2387,20821,,,,
223,6294,,,,
223,17064,,,,
223,17352,,,,
223,18899,,,,
223,19729,,,,
269,414,,,,
269,4295,,,,
269,5971,,,,
269,11996,,,,
269,11997,,,,
269,13954,,,,
298,414,,,,
298,4295,,,,
298,5971,,,,
298,11996,,,,
298,11997,,,,
298,13954,,,,
716,17352,,,,
716,18899,,,,
716,19729,,,,
833,4295,,,,
833,5971,,,,
833,6294,,,,
833,11997,,,,
833,19729,,,,
1170,4295,,,,
1170,5971,,,,
1170,11997,,,,
239,683,,,,
239,685,,,,
239,686,,,,
239,687,,,,
239,688,,,,
239,689,,,,
239,2676,,,,
239,2681,,,,
239,2684,,,,
239,3349,,,,
239,4586,,,,
239,4587,,,,
239,4588,,,,
239,4589,,,,
239,6608,,,,
239,6609,,,,
239,6610,,,,
239,6611,,,,
239,6612,,,,
239,6613,,,,
239,8648,,,,
239,8650,,,,
239,8653,,,,
239,8654,,,,
239,8655,,,,
239,8656,,,,
239,9700,,,,
239,10617,,,,
239,10618,,,,
239,10622,,,,
239,10625,,,,
239,10628,,,,
239,10629,,,,
239,10631,,,,
239,10632,,,,
239,10764,,,,
239,12193,,,,
239,12657,,,,
239,12658,,,,
239,12660,,,,
239,14569,,,,
239,14570,,,,
239,15682,,,,
239,17366,,,,
239,18689,,,,
239,18987,,,,
239,19203,,,,
239,19484,,,,
239,19552,,,,
239,19809,,,,
239,19810,,,,
239,20314,,,,
239,20315,,,,
239,20413,,,,
239,21177,,,,
239,21555,,,,
239,22061,,,,
284,682,,,,
284,683,,,,
284,684,,,,
284,685,,,,
284,686,,,,
284,687,,,,
284,688,,,,
284,2680,,,,
284,2681,,,,
284,2684,,,,
284,3338,,,,
284,3349,,,,
284,4586,,,,
284,4587,,,,
284,4588,,,,
284,5747,,,,
284,6607,,,,
284,6609,,,,
284,6610,,,,
284,6611,,,,
284,6612,,,,
284,6613,,,,
284,8648,,,,
284,8650,,,,
284,8653,,,,
284,8656,,,,
284,9700,,,,
284,10617,,,,
284,10622,,,,
284,10625,,,,
284,10631,,,,
284,10632,,,,
284,12652,,,,
284,12657,,,,
284,12658,,,,
284,12660,,,,
284,17366,,,,
284,18689,,,,
284,18987,,,,
284,19203,,,,
284,19271,,,,
284,19484,,,,
284,19552,,,,
284,19809,,,,
284,19810,,,,
284,20102,,,,
284,20314,,,,
284,20315,,,,
284,21177,,,,
284,21555,,,,
858,684,,,,
858,685,,,,
858,687,,,,
858,688,,,,
858,689,,,,
858,2676,,,,
858,2678,,,,
858,2680,,,,
858,2684,,,,
858,3349,,,,
858,4585,,,,
858,4586,,,,
858,4588,,,,
858,4589,,,,
858,5747,,,,
858,6605,,,,
858,6606,,,,
858,6607,,,,
858,6608,,,,
858,6609,,,,
858,6610,,,,
858,6611,,,,
858,6612,,,,
858,8646,,,,
858,8650,,,,
858,8651,,,,
858,8654,,,,
858,8655,,,,
858,8656,,,,
858,9266,,,,
858,9700,,,,
858,10616,,,,
858,10617,,,,
858,10618,,,,
858,10625,,,,
858,10628,,,,
858,10629,,,,
858,10631,,,,
858,10632,,,,
858,12193,,,,
858,12651,,,,
